date,sentiment.comparative,sentiment.negative_count,sentiment.positive_count,sentiment.score,time
"2007-12-30",0.03529411764705882,8,15,21,"06:51:05"
"2007-12-31",0.08403361344537816,1,5,10,"18:10:50"
"2008-01-27",0.07142857142857142,4,17,25,"07:09:58"
"2008-02-09",0.04242424242424243,100,171,161,"06:07:29"
"2008-02-19",0.0282574568288854,14,24,18,"08:39:07"
"2008-02-19",0.05154639175257732,0,3,5,"20:56:54"
"2008-02-26",0.029661016949152543,3,6,7,"05:40:39"
"2008-03-12",-0.028641571194762683,66,60,-35,"01:49:23"
"2008-03-30",0,2,2,0,"07:19:44"
"2008-04-26",-0.11071428571428571,74,33,-124,"08:02:46"
"2008-04-27",0.03471074380165289,23,31,21,"17:56:26"
"2008-04-28",0.1342925659472422,4,31,56,"02:53:04"
"2008-05-01",-0.08585055643879173,39,30,-54,"04:49:38"
"2008-05-04",0.011286681715575621,18,19,5,"19:26:53"
"2008-05-06",0.05353955978584176,33,85,90,"02:44:18"
"2008-05-06",0.011560693641618497,3,5,4,"03:01:57"
"2008-05-21",0.01634472511144131,23,27,11,"06:14:44"
"2008-05-28",-0.01694915254237288,4,5,-1,"04:13:34"
"2008-07-18",-0.05970149253731343,38,24,-32,"19:22:02"
"2008-07-18",0.01730769230769231,50,60,18,"19:29:23"
"2008-08-21",0.07259953161592506,21,46,62,"10:21:16"
"2008-08-22",0.01818181818181818,18,17,7,"08:04:54"
"2008-08-25",0.03125,5,10,8,"06:38:38"
"2008-08-27",0.05889423076923077,26,80,98,"23:05:11"
"2008-08-30",0.05776892430278884,11,29,29,"08:50:19"
"2008-09-20",-0.023652365236523653,77,68,-43,"08:10:28"
"2008-09-20",0.06735751295336788,5,26,39,"08:47:00"
"2008-09-23",-0.13636363636363635,1,0,-3,"04:17:07"
"2008-09-24",0.07073791348600508,21,96,139,"02:03:12"
"2008-09-24",-0.2714285714285714,12,4,-38,"02:04:06"
"2008-09-24",0.023454157782515993,12,22,11,"02:04:13"
