date,sentiment.comparative,sentiment.negative_count,sentiment.positive_count,sentiment.score,time
"2016-08-09",0,0,0,0,"05:56:00"
"2016-08-09",0,0,0,0,"05:56:00"
"2016-08-09",0.75,0,1,3,"05:56:00"
"2016-07-25",0,0,0,0,"12:14:00"
"2016-07-23",0.14285714285714285,0,1,1,"02:48:00"
"2016-07-23",0.25,0,1,1,"02:47:00"
"2016-07-23",0.3333333333333333,0,1,4,"02:45:00"
"2016-07-23",0.06666666666666667,0,1,1,"02:45:00"
"2016-07-23",1,0,1,4,"02:45:00"
"2016-07-23",0,0,0,0,"02:35:00"
"2016-07-23",0,0,0,0,"02:35:00"
"2016-07-23",0,0,0,0,"02:35:00"
"2016-07-23",0,0,0,0,"02:35:00"
"2016-07-23",0,0,0,0,"02:33:00"
"2016-07-23",0,0,0,0,"02:32:00"
"2016-05-16",0,0,0,0,"01:00:00"
"2016-05-16",0.25,0,1,1,"12:56:00"
"2016-05-16",0,0,0,0,"12:56:00"
"2016-05-13",1.3333333333333333,0,2,4,"01:15:00"
"2016-05-13",0,0,0,0,"01:03:00"
"2016-05-13",0.23076923076923078,0,1,3,"01:03:00"
"2016-05-13",0.11764705882352941,0,1,2,"01:01:00"
"2016-05-13",0,0,0,0,"12:59:00"
"2016-05-13",0,0,0,0,"12:59:00"
"2016-05-13",-0.375,1,1,-3,"12:57:00"
"2016-05-13",-0.1111111111111111,1,0,-2,"12:56:00"
"2015-10-18",0.11494252873563218,3,6,10,"04:55:00"
"2014-10-28",0.2727272727272727,0,1,3,"09:36:00"
"2014-10-24",0,0,0,0,"12:11:00"
"2014-07-28",0.75,0,1,3,"12:35:00"
"2014-07-28",0.1111111111111111,0,1,1,"12:34:00"
"2014-07-28",0,0,0,0,"12:34:00"
"2014-07-28",0,0,0,0,"12:33:00"
"2014-07-28",0.041666666666666664,0,1,1,"12:33:00"
"2014-07-28",0,0,0,0,"12:29:00"
"2014-07-28",0,0,0,0,"12:29:00"
"2014-07-28",0.14814814814814814,0,1,4,"12:26:00"
"2014-07-23",2,0,1,2,"07:34:00"
"2014-07-23",0.3333333333333333,0,2,2,"07:34:00"
"2014-07-23",0,1,1,0,"07:30:00"
"2014-07-23",0.16666666666666666,0,1,1,"07:30:00"
"2014-07-23",0.2727272727272727,0,2,3,"07:26:00"
"2014-07-23",0,0,0,0,"07:26:00"
"2014-07-23",0,0,0,0,"07:25:00"
"2014-07-23",0,0,0,0,"07:11:00"
"2013-12-22",0.5,0,4,7,"12:22:00"
"2013-12-12",1,0,2,6,"08:22:00"
"2013-12-12",0.16666666666666666,0,1,1,"08:22:00"
"2013-12-12",0.09090909090909091,0,1,1,"08:16:00"
"2013-12-12",0,0,0,0,"08:08:00"
"2013-12-12",0.16666666666666666,0,1,1,"08:03:00"
"2013-12-12",0,0,0,0,"07:59:00"
"2013-12-12",-0.42857142857142855,1,0,-3,"07:57:00"
"2013-12-12",0,0,0,0,"07:56:00"
"2013-10-18",0.1111111111111111,0,1,1,"12:58:00"
"2013-10-18",0,0,0,0,"11:44:00"
"2013-10-18",0,0,0,0,"11:44:00"
"2013-10-18",0,0,0,0,"11:11:00"
"2013-10-18",0.047619047619047616,2,2,1,"10:53:00"
"2013-10-18",0,0,0,0,"10:34:00"
"2013-03-06",0,1,2,0,"12:57:00"
"2012-04-12",0,0,0,0,"02:11:00"
"2012-02-27",0,0,0,0,"10:00:00"
"2012-02-27",1,0,1,3,"10:00:00"
"2012-02-27",-0.375,1,0,-3,"09:50:00"
"2012-02-27",3,0,1,3,"09:50:00"
"2012-02-27",0,0,0,0,"09:50:00"
"2012-02-27",0,0,0,0,"09:50:00"
"2012-02-27",2.5,0,2,5,"09:49:00"
"2012-02-27",0,0,0,0,"09:44:00"
"2012-02-27",0,0,0,0,"09:44:00"
"2012-01-18",0.38461538461538464,0,2,5,"01:03:00"
"2012-01-18",0.5,0,1,2,"01:03:00"
"2012-01-14",0,0,0,0,"03:04:00"
"2012-01-14",1.5,0,1,3,"03:04:00"
"2012-01-14",0,0,0,0,"03:04:00"
"2012-01-14",0,0,0,0,"03:04:00"
"2012-01-14",0,0,0,0,"03:04:00"
"2012-01-14",0.5,0,1,1,"03:04:00"
"2012-01-14",0.2727272727272727,0,2,3,"03:03:00"
"2012-01-14",0,0,0,0,"03:03:00"
"2012-01-14",0,0,0,0,"03:03:00"
"2012-01-14",1,0,2,2,"03:03:00"
"2012-01-14",0.5,0,1,1,"03:02:00"
"2012-01-14",0,0,0,0,"03:02:00"
"2012-01-14",0,0,0,0,"03:02:00"
"2012-01-14",0,0,0,0,"03:02:00"
"2012-01-14",-0.13333333333333333,1,0,-2,"03:01:00"
"2012-01-14",0,0,0,0,"03:01:00"
"2012-01-14",0,0,0,0,"03:01:00"
"2012-01-14",0.5,0,1,1,"03:01:00"
"2012-01-14",0,0,0,0,"03:01:00"
"2012-01-14",0,0,0,0,"03:00:00"
"2012-01-14",2,0,1,2,"03:00:00"
"2012-01-14",0,0,0,0,"03:00:00"
"2012-01-14",0.5,0,2,2,"02:59:00"
"2012-01-14",4,0,1,4,"02:58:00"
"2012-01-14",0,0,0,0,"02:58:00"
"2012-01-14",0,0,0,0,"02:57:00"
"2012-01-14",0,0,0,0,"02:57:00"
"2012-01-14",0,0,0,0,"02:57:00"
"2012-01-14",0.8,0,2,4,"02:57:00"
"2012-01-14",0,0,0,0,"02:56:00"
"2012-01-14",0.5,0,1,1,"02:56:00"
"2012-01-14",0,0,0,0,"02:54:00"
"2012-01-14",0,0,0,0,"02:54:00"
"2012-01-03",0,0,0,0,"03:56:00"
"2012-01-03",0,0,0,0,"03:56:00"
"2012-01-03",0,0,0,0,"03:55:00"
"2011-12-19",0.5,0,1,1,"10:27:00"
"2011-12-19",0.21739130434782608,0,3,5,"10:24:00"
"2011-12-19",1.5,0,1,3,"10:20:00"
"2011-12-19",0,0,0,0,"10:20:00"
"2011-12-19",0,0,0,0,"10:19:00"
"2011-12-19",0.125,0,1,1,"10:19:00"
"2011-12-19",0,0,0,0,"10:18:00"
"2011-12-19",0,0,0,0,"10:18:00"
"2011-12-19",0,0,0,0,"10:17:00"
"2011-12-18",0,0,0,0,"10:46:00"
"2011-12-07",2,0,1,2,"01:21:00"
"2011-12-07",1,0,1,2,"01:20:00"
"2011-12-07",0,0,0,0,"01:19:00"
"2011-12-07",0,0,0,0,"01:19:00"
"2011-12-07",0,0,0,0,"01:19:00"
"2011-12-07",0,0,0,0,"01:18:00"
"2011-12-07",0,0,0,0,"01:17:00"
"2011-12-07",0,0,0,0,"01:17:00"
"2011-12-07",0,0,0,0,"01:17:00"
"2011-12-07",0,0,0,0,"01:15:00"
"2011-12-07",0,0,0,0,"01:15:00"
"2011-12-04",0,0,0,0,"05:15:00"
"2011-12-04",0.17647058823529413,0,1,3,"05:15:00"
"2011-12-04",3,0,1,3,"05:14:00"
