date,sentiment.comparative,sentiment.negative_count,sentiment.positive_count,sentiment.score,time
"Invalid date",0.16666666666666666,0,2,3,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0.03225806451612903,0,1,1,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0.25,0,1,3,"Invalid date"
"Invalid date",0.3333333333333333,0,1,2,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0.07692307692307693,0,1,1,"Invalid date"
"Invalid date",1,0,1,1,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0.1111111111111111,0,2,3,"Invalid date"
"Invalid date",0.05172413793103448,1,3,3,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",1,0,1,1,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0.06756756756756757,0,3,5,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",-0.2857142857142857,1,0,-2,"Invalid date"
"Invalid date",0.3333333333333333,0,1,2,"Invalid date"
"Invalid date",3,0,1,3,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",-0.2857142857142857,1,0,-2,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0.8333333333333334,0,2,5,"Invalid date"
"Invalid date",0.16666666666666666,0,1,2,"Invalid date"
"Invalid date",0.2222222222222222,0,1,2,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0.21428571428571427,0,2,3,"Invalid date"
"Invalid date",1.5,0,1,3,"Invalid date"
"Invalid date",-0.4,1,0,-2,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",3,0,1,3,"Invalid date"
"Invalid date",0.2,0,1,2,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0.08108108108108109,1,2,3,"Invalid date"
"Invalid date",0.5,1,3,6,"Invalid date"
"Invalid date",0.07692307692307693,0,1,1,"Invalid date"
"Invalid date",0.25,0,1,1,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",-0.2,1,0,-1,"Invalid date"
"Invalid date",0.06451612903225806,0,1,2,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0.2,1,4,6,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0.20689655172413793,0,2,6,"Invalid date"
"Invalid date",1,0,1,4,"Invalid date"
"Invalid date",-0.05128205128205128,3,2,-2,"Invalid date"
"Invalid date",-0.1111111111111111,1,0,-1,"Invalid date"
"Invalid date",1.2,0,2,6,"Invalid date"
"Invalid date",0.375,0,1,3,"Invalid date"
"Invalid date",0.2191780821917808,0,6,16,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0.05,1,1,1,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",-0.15384615384615385,1,0,-2,"Invalid date"
"Invalid date",-0.08333333333333333,1,0,-1,"Invalid date"
"Invalid date",0.019230769230769232,0,1,1,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0.2,0,1,1,"Invalid date"
"Invalid date",-0.25,1,0,-1,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0.2,2,2,2,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",1.5,0,1,3,"Invalid date"
"Invalid date",-0.16666666666666666,1,1,-1,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",3,0,2,6,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
"Invalid date",4,0,1,4,"Invalid date"
"Invalid date",0,0,0,0,"Invalid date"
