date,sentiment.comparative,sentiment.negative_count,sentiment.positive_count,sentiment.score,time
"2012-01-24",0,0,0,0,"09:56:00"
"2012-01-24",0.5714285714285714,0,1,4,"09:56:00"
"2012-01-24",0,0,0,0,"09:56:00"
"2012-01-24",0,0,0,0,"09:56:00"
"2012-01-24",1,0,1,1,"09:56:00"
"2012-01-24",0,0,0,0,"09:56:00"
"2012-01-24",0,0,0,0,"09:55:00"
"2012-01-24",0.8,0,2,4,"09:55:00"
"2012-01-24",0.6,0,1,3,"09:55:00"
"2012-01-24",0,0,0,0,"09:53:00"
"2012-01-24",0.3333333333333333,0,1,3,"09:53:00"
"2012-01-24",0.6666666666666666,0,1,2,"09:53:00"
"2012-01-24",0.25,0,1,2,"09:53:00"
"2012-01-24",1.5,0,1,3,"09:52:00"
"2012-01-24",0,0,0,0,"09:51:00"
"2012-01-24",0,0,0,0,"09:51:00"
"2012-01-24",0,0,0,0,"09:51:00"
"2012-01-24",0.6666666666666666,0,1,2,"09:48:00"
"2012-01-24",0,0,0,0,"09:48:00"
"2012-01-24",0,0,0,0,"09:48:00"
"2012-01-24",0,0,0,0,"09:47:00"
"2012-01-24",0.14285714285714285,0,2,2,"09:47:00"
"2012-01-24",0,0,0,0,"09:47:00"
"2012-01-24",0,0,0,0,"09:46:00"
"2012-01-24",0,0,0,0,"09:46:00"
"2012-01-24",0.25,0,1,2,"09:46:00"
"2012-01-24",0.07142857142857142,0,1,1,"09:46:00"
"2012-01-24",0,0,0,0,"09:45:00"
"2012-01-24",0.5714285714285714,0,2,4,"09:43:00"
"2012-01-24",1.5,0,1,3,"09:42:00"
"2012-01-24",0.2,0,1,1,"09:42:00"
"2012-01-24",0.5,0,1,1,"09:41:00"
"2012-01-24",0,0,0,0,"09:41:00"
"2012-01-18",0,0,0,0,"08:01:00"
"2011-12-26",2,0,1,2,"10:59:00"
"2011-12-26",0,0,0,0,"10:58:00"
"2011-12-26",2,0,1,4,"10:57:00"
"2011-12-26",0.4,0,3,6,"10:57:00"
"2011-12-26",0,0,0,0,"10:55:00"
"2011-12-26",1.25,0,2,5,"10:54:00"
"2011-12-26",0,0,0,0,"10:54:00"
"2011-12-26",0,0,0,0,"10:54:00"
"2011-12-26",0,0,0,0,"10:53:00"
"2011-12-26",0,0,0,0,"10:52:00"
"2011-12-26",0.3125,0,2,5,"10:52:00"
"2011-12-26",-0.08333333333333333,2,1,-1,"10:52:00"
"2011-12-26",0.20833333333333334,0,3,5,"10:48:00"
"2011-12-22",0.75,0,1,3,"07:42:00"
"2011-12-22",0,0,0,0,"05:40:00"
"2011-12-22",0.75,0,1,3,"05:40:00"
"2011-12-20",0.21212121212121213,0,3,7,"10:39:00"
"2011-12-12",0,0,0,0,"09:55:00"
"2011-12-12",0,0,0,0,"09:53:00"
"2011-11-14",0,0,0,0,"12:41:00"
"2011-11-14",0,0,0,0,"12:40:00"
"2011-11-14",0,0,0,0,"12:40:00"
"2011-11-14",0,0,0,0,"12:39:00"
"2011-11-14",0,0,0,0,"12:38:00"
"2011-10-25",0,0,0,0,"05:13:00"
"2011-10-25",0,0,0,0,"05:12:00"
"2011-10-25",0,0,0,0,"05:11:00"
"2011-10-25",0,0,0,0,"05:10:00"
"2011-10-25",0,0,0,0,"05:09:00"
"2011-10-25",0,0,0,0,"05:08:00"
"2011-10-25",0.42857142857142855,0,1,3,"04:59:00"
"2011-10-25",0.5,0,1,3,"12:18:00"
"2011-10-25",0.23076923076923078,0,6,12,"10:28:00"
"2011-10-07",0,0,0,0,"11:21:00"
"2011-10-07",0,0,0,0,"11:20:00"
"2011-10-07",0.5454545454545454,0,3,6,"11:20:00"
"2011-10-07",0,0,0,0,"11:20:00"
"2011-10-07",0,0,0,0,"11:20:00"
"2011-10-07",0,0,0,0,"11:19:00"
"2011-10-07",0,0,0,0,"11:19:00"
"2011-10-07",0,0,0,0,"11:18:00"
"2011-10-07",0,0,0,0,"11:18:00"
"2011-10-07",0,0,0,0,"11:18:00"
"2011-10-07",0,1,2,0,"11:18:00"
"2011-10-07",-0.1111111111111111,2,0,-2,"11:17:00"
"2011-10-07",-0.21428571428571427,1,0,-3,"11:17:00"
"2011-10-07",1,0,1,1,"11:17:00"
"2011-10-07",0.6666666666666666,0,1,2,"11:16:00"
"2011-10-07",0,0,0,0,"11:16:00"
"2011-10-07",0,0,0,0,"11:16:00"
"2011-10-07",0,0,0,0,"11:16:00"
"2011-10-07",0,0,0,0,"11:16:00"
"2011-10-07",0.8,0,2,4,"11:15:00"
"2011-10-07",3,0,1,3,"11:14:00"
"2011-10-07",0.5,0,1,1,"11:14:00"
"2011-10-07",0,0,0,0,"11:14:00"
"2011-10-07",0,0,0,0,"11:14:00"
"2011-10-07",-1,1,0,-4,"11:14:00"
"2011-10-07",0,0,0,0,"11:13:00"
"2011-10-07",0,0,0,0,"11:13:00"
"2011-10-07",0,0,0,0,"11:13:00"
"2011-10-07",0.4,0,1,2,"11:12:00"
"2011-10-07",0.14285714285714285,1,1,1,"11:12:00"
"2011-10-07",0,0,0,0,"11:12:00"
"2011-10-07",-0.07407407407407407,1,0,-2,"11:12:00"
"2011-10-07",0,0,0,0,"11:07:00"
"2011-09-28",0.5,0,7,17,"04:17:00"
"2011-09-28",1,0,2,3,"11:16:00"
"2011-09-28",0,0,0,0,"11:15:00"
"2011-09-28",0,0,0,0,"11:15:00"
"2011-09-28",-1,1,0,-2,"10:50:00"
"2011-09-28",0,0,0,0,"10:49:00"
"2011-09-19",0.18181818181818182,0,2,2,"06:34:00"
"2011-09-19",-0.12162162162162163,7,4,-9,"06:34:00"
"2011-09-09",0,0,0,0,"12:45:00"
"2011-09-09",1.5,0,1,3,"12:45:00"
"2011-09-09",0,0,0,0,"12:44:00"
"2011-09-09",0.6,0,1,3,"12:44:00"
"2011-09-09",1,0,1,2,"12:44:00"
"2011-09-09",0,0,0,0,"12:43:00"
"2011-09-09",0.4,0,1,2,"12:42:00"
"2011-09-09",0,0,0,0,"12:42:00"
"2011-09-09",0,0,0,0,"12:41:00"
"2011-09-09",0,0,0,0,"12:40:00"
"2011-09-09",0.6666666666666666,0,1,2,"12:39:00"
"2011-09-09",0,0,0,0,"12:38:00"
"2011-08-19",0.75,0,1,3,"10:00:00"
"2011-08-19",0,0,0,0,"10:00:00"
"2011-08-19",1,0,1,3,"09:59:00"
"2011-08-19",0,0,0,0,"09:59:00"
"2011-08-19",0,0,0,0,"09:44:00"
"2011-08-19",1,0,1,1,"09:43:00"
"2011-08-19",0.18181818181818182,0,1,2,"09:41:00"
"2011-08-19",0.17647058823529413,0,5,9,"09:40:00"
"2011-08-19",1.1666666666666667,0,3,7,"09:38:00"
"2011-08-19",0.4,0,1,2,"09:32:00"
"2011-08-19",0.16666666666666666,0,2,3,"09:31:00"
"2011-08-19",0.6666666666666666,0,1,2,"09:31:00"
"2011-08-19",1,0,1,1,"09:31:00"
"2011-08-19",-0.38461538461538464,2,0,-5,"09:29:00"
"2011-08-19",0.375,0,2,3,"09:28:00"
"2011-08-19",1,0,1,1,"09:27:00"
"2011-08-19",-0.5,1,0,-4,"09:27:00"
"2011-08-19",0,0,0,0,"09:27:00"
"2011-08-19",1,0,2,3,"09:25:00"
"2011-08-19",0,0,0,0,"09:24:00"
